Gene_Name	Ensemble_ID	Chrom	Positition_1	Position_2	Type	Known_By	In_Island	MaxFST	Source
DACH1	ENSTGUG00000012492	1	67673562	67873816	protein_coding	KNOWN_BY_PROJECTION	0	0.347826	S/ Warren SI Table 7
CDKL5	ENSTGUG00000007769	1	15303549	15391269	protein_coding	KNOWN_BY_PROJECTION	0	0.351902	S/ Warren SI Table 7
LRRC16A	ENSTGUG00000008921	2	95212934	95338471	protein_coding	KNOWN_BY_PROJECTION	0	0.366801	S/ Warren SI Table 7
NFX1	ENSTGUG00000007055	2	76504906	76581567	protein_coding	KNOWN_BY_PROJECTION	1	0.378378	S/ Warren SI Table 7
CCDC41	ENSTGUG00000008314	1A	44427675	44445917	protein_coding	KNOWN_BY_PROJECTION	0	0.407895	S/ Warren SI Table 7
NRCAM	ENSTGUG00000005630	1A	27938792	28002338	protein_coding	KNOWN_BY_PROJECTION	0	0.541603	S/ Warren SI Table 7
TIMP3	ENSTGUG00000010899	1A	52962825	52996909	protein_coding	KNOWN_BY_PROJECTION	0	0.552434	S/ Warren SI Table 7
ABCA2	ENSTGUG00000002344	17	166256	190988	protein_coding	KNOWN_BY_PROJECTION	1	0.829948	S/ Warren SI Table 7
MCF2	ENSTGUG00000002176	4A	727985	760475	protein_coding	KNOWN_BY_PROJECTION	0	0.177846	S/ Nam table 6
CACNA1D	ENSTGUG00000006839	12	7106646	7265338	protein_coding	KNOWN_BY_PROJECTION	0	0.292135	S/ Nam table 6
MCF2L2	ENSTGUG00000010484	9	18650981	18748298	protein_coding	KNOWN_BY_PROJECTION	0	0.234397	S/ Nam table 6
RAI1	ENSTGUG00000007343	14	10502900	10506658	protein_coding	KNOWN_BY_PROJECTION	0	0.337349	S/Nam table 6
PTPRF	ENSTGUG00000007224	8	16719790	16918792	protein_coding	KNOWN_BY_PROJECTION	0	0.450256	S/Nam table 6
GRM1	ENSTGUG00000010757	3	48638373	48815966	protein_coding	KNOWN_BY_PROJECTION	1	0.911081	S/Nam table 6
GRIN2A	ENSTGUG00000004747	14	5977301	6128781	protein_coding	KNOWN_BY_PROJECTION	0	0.256253	S/Nam, Table 6
TRPM7	ENSTGUG00000007440	10	10578338	10609949	protein_coding	KNOWN_BY_PROJECTION	0	-0.0633558	S/ Warren, SI Table 7 & 9
MYH10	ENSTGUG00000005201	18	4581931	4663145	protein_coding	KNOWN_BY_PROJECTION	0	0.388587	S/ Warren, SI Table 7 & 9
ZFHX4	ENSTGUG00000011605	2	125685585	125813355	protein_coding	KNOWN_BY_PROJECTION	0	0.389001	S/ Warren, SI Table 7 & 9
CACNA1G	ENSTGUG00000009049	18	9311783	9410030	protein_coding	KNOWN_BY_PROJECTION	0	0.263653	S/Warren, Table 2
CACNA1B	ENSTGUG00000002855	17	2170313	2361057	protein_coding	KNOWN_BY_PROJECTION	0	0.397976	S/Warren, Table 2
KCNC2	ENSTGUG00000007354	1A	36960718	37056631	protein_coding	KNOWN_BY_PROJECTION	0	0.222903	S/Warren, Table 2
NA	ENSTGUG00000003563	4A	10072724	10184428	protein_coding	KNOWN	0	0.274322	S/Warren, Table 2
GPR98	ENSTGUG00000000694	Z	12907368	13150984	protein_coding	KNOWN_BY_PROJECTION	0	1	S/Warren, Sitable 8; Nam table 6
Q75XU1_TAEGU	ENSTGUG00000005484	4	29268697	29316975	protein_coding	KNOWN	0	0.274322	S/Warren, Table 2/GRIA2, Nam Table 6
